Year;Country;pais_iso;continente;ECI;ECI+
1969;Sri Lanka;lka;as;-0.908343;-1.01468
1969;Burma;mmr;as;-1.13729;-1.19826
1969;Malaysia;mys;as;-0.579548;-0.273152
1969;Oman;omn;as;-1.40809;-0.757775
1969;Pakistan;pak;as;-0.368162;0.01739
1969;Philippines;phl;as;-0.540272;-0.65177
1969;Qatar;qat;as;-0.645333;-1.01699
1969;Saudi Arabia;sau;as;-0.62291;-0.978632
1969;Singapore;sgp;as;0.131842;0.423522
1969;Syria;syr;as;-0.502398;-0.492337
1969;Thailand;tha;as;-0.841727;-0.596731
1969;Turkey;tur;as;-0.850097;-0.35317
1969;Vietnam;vnm;as;-0.201158;0.250921
1969;Albania;alb;eu;0.061086;0.003686
1969;Austria;aut;eu;1.92701;1.64514
1969;Belgium;bel;eu;1.52145;1.49878
1969;Bulgaria;bgr;eu;0.530517;0.650383
1969;Switzerland;che;eu;2.09088;1.76841
1969;Germany;deu;eu;2.28258;1.8489
1969;Denmark;dnk;eu;1.32305;1.32361
1969;Spain;esp;eu;0.805464;0.896997
1969;Finland;fin;eu;1.45759;1.34421
1969;France;fra;eu;1.73018;1.54293
1969;United Kingdom;gbr;eu;2.03973;1.707
1969;Greece;grc;eu;0.117929;0.290666
1969;Hungary;hun;eu;1.02343;0.967402
1969;Ireland;irl;eu;0.879141;0.99058
1969;Italy;ita;eu;1.80442;1.5842
1969;Netherlands;nld;eu;1.28544;1.42507
1969;Norway;nor;eu;1.38927;1.15451
1969;Poland;pol;eu;0.893808;1.03153
1969;Portugal;prt;eu;0.946908;0.757269
1969;Romania;rou;eu;0.633043;0.751815
1969;Sweden;swe;eu;1.97973;1.68869
1969;Canada;can;na;0.829068;1.32231
1969;Costa Rica;cri;na;0.543581;0.471408
1969;Dominican Republic;dom;na;-0.558;-0.771725
1969;Guatemala;gtm;na;0.351906;0.355665
1969;Honduras;hnd;na;-0.20942;-0.297394
1969;Jamaica;jam;na;-0.358714;-0.751636
1969;Mexico;mex;na;0.113615;0.530089
1969;Nicaragua;nic;na;0.111926;0.029008
1969;Panama;pan;na;0.885879;0.67913
1969;El Salvador;slv;na;0.547753;0.553729
1969;Trinidad and Tobago;tto;na;0.136406;-0.033533
1969;United States;usa;na;1.82113;1.6629
1969;Australia;aus;oc;0.135157;0.724796
